,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,5041.0,5041.0,5041.0,3124.0,3124.0,9656.0,9656.0,6035.0,6035.0,6390.0,9514.0,8804.0,9940.0,32660.0,14271.0,10792.0,7100.0,15336.0,9443.0,12780.0,17892.0,7029.0,5041.0
K2,5041.0,5041.0,5041.0,3124.0,3124.0,9656.0,9656.0,6035.0,6035.0,6390.0,9514.0,8804.0,9940.0,32660.0,14271.0,10792.0,7100.0,15336.0,9443.0,12780.0,17892.0,7029.0,5041.0
K1,5041.0,5041.0,5041.0,3124.0,3124.0,9656.0,9656.0,6035.0,6035.0,6390.0,9514.0,8804.0,9940.0,32660.0,14271.0,10792.0,7100.0,15336.0,9443.0,12780.0,17892.0,7029.0,5041.0
P2,3124.0,3124.0,3124.0,1936.0,1936.0,5984.0,5984.0,3740.0,3740.0,3960.0,5896.0,5456.0,6160.0,20240.0,8844.0,6688.0,4400.0,9504.0,5852.0,7920.0,11088.0,4356.0,3124.0
P1,3124.0,3124.0,3124.0,1936.0,1936.0,5984.0,5984.0,3740.0,3740.0,3960.0,5896.0,5456.0,6160.0,20240.0,8844.0,6688.0,4400.0,9504.0,5852.0,7920.0,11088.0,4356.0,3124.0
R1,9656.0,9656.0,9656.0,5984.0,5984.0,18496.0,18496.0,11560.0,11560.0,12240.0,18224.0,16864.0,19040.0,62560.0,27336.0,20672.0,13600.0,29376.0,18088.0,24480.0,34272.0,13464.0,9656.0
R2,9656.0,9656.0,9656.0,5984.0,5984.0,18496.0,18496.0,11560.0,11560.0,12240.0,18224.0,16864.0,19040.0,62560.0,27336.0,20672.0,13600.0,29376.0,18088.0,24480.0,34272.0,13464.0,9656.0
i1,6035.0,6035.0,6035.0,3740.0,3740.0,11560.0,11560.0,7225.0,7225.0,7650.0,11390.0,10540.0,11900.0,39100.0,17085.0,12920.0,8500.0,18360.0,11305.0,15300.0,21420.0,8415.0,6035.0
i2,6035.0,6035.0,6035.0,3740.0,3740.0,11560.0,11560.0,7225.0,7225.0,7650.0,11390.0,10540.0,11900.0,39100.0,17085.0,12920.0,8500.0,18360.0,11305.0,15300.0,21420.0,8415.0,6035.0
O,6390.0,6390.0,6390.0,3960.0,3960.0,12240.0,12240.0,7650.0,7650.0,8100.0,12060.0,11160.0,12600.0,41400.0,18090.0,13680.0,9000.0,19440.0,11970.0,16200.0,22680.0,8910.0,6390.0
S,9514.0,9514.0,9514.0,5896.0,5896.0,18224.0,18224.0,11390.0,11390.0,12060.0,17956.0,16616.0,18760.0,61640.0,26934.0,20368.0,13400.0,28944.0,17822.0,24120.0,33768.0,13266.0,9514.0
a,8804.0,8804.0,8804.0,5456.0,5456.0,16864.0,16864.0,10540.0,10540.0,11160.0,16616.0,15376.0,17360.0,57040.0,24924.0,18848.0,12400.0,26784.0,16492.0,22320.0,31248.0,12276.0,8804.0
c,9940.0,9940.0,9940.0,6160.0,6160.0,19040.0,19040.0,11900.0,11900.0,12600.0,18760.0,17360.0,19600.0,64400.0,28140.0,21280.0,14000.0,30240.0,18620.0,25200.0,35280.0,13860.0,9940.0
e,32660.0,32660.0,32660.0,20240.0,20240.0,62560.0,62560.0,39100.0,39100.0,41400.0,61640.0,57040.0,64400.0,211600.0,92460.0,69920.0,46000.0,99360.0,61180.0,82800.0,115920.0,45540.0,32660.0
h,14271.0,14271.0,14271.0,8844.0,8844.0,27336.0,27336.0,17085.0,17085.0,18090.0,26934.0,24924.0,28140.0,92460.0,40401.0,30552.0,20100.0,43416.0,26733.0,36180.0,50652.0,19899.0,14271.0
l,10792.0,10792.0,10792.0,6688.0,6688.0,20672.0,20672.0,12920.0,12920.0,13680.0,20368.0,18848.0,21280.0,69920.0,30552.0,23104.0,15200.0,32832.0,20216.0,27360.0,38304.0,15048.0,10792.0
o,7100.0,7100.0,7100.0,4400.0,4400.0,13600.0,13600.0,8500.0,8500.0,9000.0,13400.0,12400.0,14000.0,46000.0,20100.0,15200.0,10000.0,21600.0,13300.0,18000.0,25200.0,9900.0,7100.0
n,15336.0,15336.0,15336.0,9504.0,9504.0,29376.0,29376.0,18360.0,18360.0,19440.0,28944.0,26784.0,30240.0,99360.0,43416.0,32832.0,21600.0,46656.0,28728.0,38880.0,54432.0,21384.0,15336.0
p,9443.0,9443.0,9443.0,5852.0,5852.0,18088.0,18088.0,11305.0,11305.0,11970.0,17822.0,16492.0,18620.0,61180.0,26733.0,20216.0,13300.0,28728.0,17689.0,23940.0,33516.0,13167.0,9443.0
s,12780.0,12780.0,12780.0,7920.0,7920.0,24480.0,24480.0,15300.0,15300.0,16200.0,24120.0,22320.0,25200.0,82800.0,36180.0,27360.0,18000.0,38880.0,23940.0,32400.0,45360.0,17820.0,12780.0
r,17892.0,17892.0,17892.0,11088.0,11088.0,34272.0,34272.0,21420.0,21420.0,22680.0,33768.0,31248.0,35280.0,115920.0,50652.0,38304.0,25200.0,54432.0,33516.0,45360.0,63504.0,24948.0,17892.0
u,7029.0,7029.0,7029.0,4356.0,4356.0,13464.0,13464.0,8415.0,8415.0,8910.0,13266.0,12276.0,13860.0,45540.0,19899.0,15048.0,9900.0,21384.0,13167.0,17820.0,24948.0,9801.0,7029.0
z,5041.0,5041.0,5041.0,3124.0,3124.0,9656.0,9656.0,6035.0,6035.0,6390.0,9514.0,8804.0,9940.0,32660.0,14271.0,10792.0,7100.0,15336.0,9443.0,12780.0,17892.0,7029.0,5041.0
