,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,3068.9139907984127,2566.8922848444095,2598.0392053527025,1214.0485962856849,1656.2577572643565,5220.701811138622,3515.3903930759375,3439.401912390341,3426.2428661836166,1990.7059326651913,2949.291792779406,2624.119430470075,4398.911972843311,9997.055541525568,4724.888230153592,5580.530220681863,2525.029649879359,5122.788861188853,2916.2114352708736,4344.756310078202,7190.51195043017,2667.918114939959,1672.5887406827908
K2,2566.8922848444067,2758.3974762387643,2263.198270658295,1322.023381979152,1426.5495649337142,4337.340038309156,3674.7260628039653,2896.9194467911343,2998.6926664228135,2017.2008088342566,2970.423768304209,2650.125848388082,3922.8822403531804,10332.481923498635,4419.570367671883,4959.461656002422,2540.704265010431,4748.88720414467,2749.908973889044,4335.965456398207,6659.477937408139,2670.8545999866196,1853.2710959109183
K1,2598.039205352704,2263.1982706582994,2421.3711737835188,1256.8436391135033,1524.018536182777,4847.724004862573,3694.8001194731087,3040.1038726137454,2823.9651659104625,2159.306671787572,3185.1168622612786,2849.6639279891747,4371.69766530878,10712.110648598444,4980.932809091154,5157.293702442099,2657.7558723298553,5366.888073507566,3002.2952626451856,4667.393493173981,7082.963133496512,2758.237216879402,1751.6107945963417
P2,1214.048596285683,1322.0233819791588,1256.8436391135056,1055.6344111990732,808.4831669163343,2479.781854811921,3048.2753982072218,1433.2505114397068,1283.9048324431524,1730.4092823690414,2377.309732472792,2115.390037032353,2461.97984978353,8316.940988105127,3277.7177845466204,2622.0527862094705,1901.2970555502252,3261.2433050935424,1951.2616415568198,3421.0005237098535,4195.611024420267,1813.5500053213227,1528.8451649569324
P1,1656.257757264355,1426.5495649337151,1524.0185361827764,808.4831669163359,1006.7208189005073,3126.0746174013,2381.317415464105,1989.4188055350317,1822.7043810932307,1382.7912608142008,2031.3570826951043,1812.4060642618338,2787.2545610257234,6988.661400840138,3179.7142749336763,3313.5088730713314,1697.3168178849985,3431.903299261803,1913.447858936587,2965.123206653762,4601.677229123684,1762.9216042110904,1146.514240359674
R1,5220.701811138627,4337.340038309146,4847.724004862558,2479.7818548119158,3126.0746174013057,10125.086183333025,7348.171248853951,6170.643146910422,5574.002648384662,4270.763622465028,6316.206762146931,5576.079954618435,8786.624222522092,20943.175439743525,9855.554873882324,10400.832201839576,5250.1421108608865,10518.960460860577,5884.835575173301,9284.158312146286,13947.444359398094,5443.79236679657,3401.280693577971
R2,3515.390393075943,3674.726062803964,3694.8001194731182,3048.275398207228,2381.3174154640997,7348.171248853969,9355.52486746591,4196.659913433483,3577.8734102817343,5299.6846881905285,7435.7377600430245,6679.82432677943,7632.440889226011,25685.263303293166,10442.267142729113,7762.768895315484,5712.609823385546,10498.570457085478,6264.220588913016,10401.911091447459,13004.992619715109,5437.815953981927,4636.259441053815
i1,3439.4019123903295,2896.9194467911443,3040.1038726137367,1433.2505114397106,1989.4188055350328,6170.643146910453,4196.659913433485,4352.3124747303555,4090.4069807201836,2417.349615532749,3497.855902758855,3260.268919074043,5518.541962881823,12521.370465210692,6076.816842674201,6924.77315822128,3100.0766214037176,6705.586320827715,3562.3685234902446,5388.242912615941,8987.662811097041,3373.559317145683,2038.571011641715
i2,3426.242866183622,2998.6926664228054,2823.9651659104657,1283.9048324431567,1822.7043810932266,5574.002648384727,3577.8734102817334,4090.406980720185,4304.441156643216,1959.9672796569216,2820.2170815783174,2669.060648760018,4748.09306916428,10702.413551872636,4980.147379617424,6397.908688041625,2587.8297234861925,5551.031306785444,3011.7644386996544,4372.682825256813,7867.009585838991,2878.6735250771344,1782.1191901301795
O,1990.7059326651863,2017.2008088342586,2159.306671787573,1730.409282369035,1382.7912608142035,4270.763622465058,5299.684688190504,2417.3496155327375,1959.9672796569243,3747.5714178134235,5486.799012829823,4804.740563799727,4908.067400864071,16060.764665676561,7165.625805973082,4637.64535306624,3984.2833187432307,6970.034276804399,4018.5705880312744,7189.14140810701,7942.265509304674,3503.6689953693863,2786.253552724434
S,2949.29179277941,2970.423768304224,3185.116862261268,2377.30973247278,2031.3570826951088,6316.206762146941,7435.737760043022,3497.855902758827,2820.2170815783256,5486.799012829811,9115.54906121036,7556.3525187053965,7481.841615704077,24381.371721335872,10669.621513893402,6866.587577434473,6110.6723595855465,10292.675670323062,6094.484893639172,11254.000514431347,11809.222861474598,5256.281971409219,4066.47423807569
a,2624.119430470068,2650.125848388079,2849.6639279891665,2115.3900370323604,1812.406064261834,5576.079954618429,6679.824326779465,3260.268919074036,2669.0606487600194,4804.740563799729,7556.352518705363,7295.0586241641995,6784.1018104859295,23608.892179421033,10133.126142377205,6344.731901698654,5373.9046248902405,9840.341465995862,5653.472581399955,9879.074838062344,11087.481297493561,4831.459217943445,3777.391247575215
c,4398.91197284332,3922.882240353182,4371.697665308776,2461.979849783529,2787.254561025725,8786.624222522094,7632.440889225987,5518.5419628818145,4748.093069164295,4908.067400864064,7481.841615704073,6784.101810485954,10260.914406626356,24005.671101528522,11051.884833280752,10119.938845072145,5924.871194992046,11480.150046334991,6412.047948978644,10377.898537155135,13918.666869854003,5534.026854419688,3939.6288329507324
e,9997.05554152543,10332.481923498646,10712.1106485984,8316.940988105096,6988.661400840128,20943.175439743594,25685.26330329307,12521.370465210646,10702.413551872705,16060.764665676568,24381.371721336145,23608.892179421135,24005.671101528234,105328.74148648205,33485.99041414991,23062.86169895339,17706.73245733289,32986.54692984504,20478.839034639645,33432.89660582465,44579.60049521059,17911.710006332414,15932.037722423434
h,4724.88823015356,4419.570367671918,4980.9328090911185,3277.717784546617,3179.7142749336913,9855.55487388223,10442.267142729055,6076.816842674204,4980.147379617425,7165.6258059731,10669.6215138934,10133.126142377216,11051.884833280741,33485.99041414986,16738.540316936545,11232.666402076782,8056.492808217317,16997.385401706717,9413.064143108895,14728.202930755533,18853.39557281875,7749.035912531589,5364.895654570834
l,5580.530220681895,4959.461656002434,5157.293702442101,2622.052786209468,3313.5088730713364,10400.832201839637,7762.7688953155275,6924.773158221245,6397.908688041587,4637.645353066207,6866.587577434431,6344.731901698662,10119.938845072156,23062.86169895328,11232.666402076702,11917.857611672169,5888.284282978578,12065.758155015506,6652.590572505337,10327.565368618225,15798.067793511029,6203.651066414422,3816.0214341560713
o,2525.029649879359,2540.70426501043,2657.755872329843,1901.297055550222,1697.3168178849992,5250.142110860927,5712.609823385508,3100.076621403722,2587.829723486198,3984.2833187432398,6110.672359585541,5373.904624890256,5924.871194992061,17706.732457332764,8056.492808217359,5888.284282978592,4873.857453305742,7912.500460815068,4517.300312775749,8535.048226938998,9479.70129999963,4391.597068753224,2954.468790505466
n,5122.788861188821,4748.887204144656,5366.888073507603,3261.2433050935474,3431.9032992618068,10518.960460860557,10498.570457085521,6705.5863208277115,5551.031306785377,6970.03427680438,10292.675670323191,9840.34146599584,11480.150046335119,32986.54692984571,16997.385401706764,12065.75815501557,7912.500460815115,18803.71629415359,10058.719177099561,14321.887059754887,20646.8734616175,7940.778613045978,5246.251505502195
p,2916.2114352708954,2749.908973889033,3002.295262645195,1951.261641556815,1913.4478589365867,5884.835575173301,6264.220588913044,3562.3685234902323,3011.764438699657,4018.5705880312703,6094.484893639149,5653.4725813999485,6412.047948978645,20478.83903463946,9413.064143108877,6652.590572505351,4517.300312775709,10058.719177099527,6790.585223679132,8301.450739900898,12057.57439677992,4599.193194662647,3366.1213088453733
s,4344.756310078211,4335.965456398229,4667.393493173969,3421.0005237098558,2965.123206653762,9284.15831214628,10401.911091447477,5388.242912615943,4372.682825256809,7189.141408107029,11254.00051443125,9879.074838062275,10377.898537155037,33432.89660582455,14728.202930755486,10327.565368618281,8535.048226938932,14321.88705975489,8301.450739900898,15844.698727407016,17081.613361140517,7901.5572825424315,5586.259253277211
r,7190.511950430167,6659.477937408177,7082.963133496531,4195.611024420271,4601.677229123697,13947.444359398129,13004.992619715005,8987.662811097049,7867.009585838984,7942.26550930461,11809.222861474618,11087.481297493632,13918.66686985404,44579.60049521055,18853.395572818947,15798.067793510942,9479.701299999773,20646.87346161755,12057.574396779732,17081.613361140655,27574.46218079819,10191.159800112224,7026.521515547661
u,2667.918114939946,2670.854599986622,2758.237216879413,1813.550005321328,1762.9216042110854,5443.79236679656,5437.815953981947,3373.5593171456826,2878.673525077154,3503.668995369381,5256.281971409231,4831.459217943448,5534.026854419739,17911.71000633255,7749.035912531591,6203.651066414419,4391.59706875322,7940.778613045978,4599.193194662672,7901.557282542491,10191.159800112222,4711.92249972536,2804.753165041318
z,1672.5887406827883,1853.2710959109218,1751.610794596344,1528.8451649569274,1146.5142403596733,3401.280693577978,4636.259441053815,2038.5710116417135,1782.1191901301822,2786.2535527244204,4066.474238075687,3777.391247575217,3939.628832950733,15932.037722423362,5364.895654570838,3816.0214341560977,2954.4687905054657,5246.25150550217,3366.121308845382,5586.2592532772405,7026.521515547598,2804.7531650413275,2794.8194989039616
