,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.9782850051741956,0.6842643228925275,0.874220067373754,0,0,0,0,0,0,0,0,0,0,0.25511102421466403,0,0,0,0,0,0,0.2866443672336395,0,0.1623281595697243
K2,0.6842643228925275,0.7862104905931869,0.620161136614399,0,0,0,0,0,0,0,0,0,0,0.2431241129569036,0,0,0,0,0,0,0.36880473431393274,0,0.21382388993917453
K1,0.8742200673737541,0.620161136614399,0.8847842631775168,0,0,0,0,0,0,0,0,0,0,0.24020167043730437,0,0,0,0,0,0,0.2594335879397961,0,0.19423992873931775
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.25511102421466403,0.2431241129569036,0.24020167043730437,0,0,0,0,0,0,0,0,0,0,0.7912860872421198,0,0,0,0,0,0,0.3131606796456501,0,0.5657851759269683
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.2866443672336395,0.36880473431393274,0.2594335879397961,0,0,0,0,0,0,0,0,0,0,0.3131606796456501,0,0,0,0,0,0,1.0000000000000004,0,0.34193863072351155
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.1623281595697243,0.21382388993917453,0.19423992873931775,0,0,0,0,0,0,0,0,0,0,0.5657851759269683,0,0,0,0,0,0,0.34193863072351155,0,1.0000000000000007
