,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.9840418171491623,0.8707843421439779,0.7855931548058741,0,0,0,0,0,0,0,0,0,0,0.600998949243247,0,0,0,0,0,0,0.45561170859480893,0,0.6096267328626017
K2,0.8707843421439779,0.9090517744155329,0.6479135944110512,0,0,0,0,0,0,0,0,0,0,0.5046414705122674,0,0,0,0,0,0,0.3276387664473096,0,0.5207311531208398
K1,0.7855931548058741,0.6479135944110512,0.8088234829715851,0,0,0,0,0,0,0,0,0,0,0.5267347381954636,0,0,0,0,0,0,0.4282918245604964,0,0.44848267022910915
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.600998949243247,0.5046414705122674,0.5267347381954636,0,0,0,0,0,0,0,0,0,0,0.7778641912103937,0,0,0,0,0,0,0.569429730804382,0,0.6204368085838103
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.45561170859480893,0.3276387664473096,0.4282918245604964,0,0,0,0,0,0,0,0,0,0,0.569429730804382,0,0,0,0,0,0,1.0000000000000002,0,0.6138099476294531
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.6096267328626017,0.5207311531208398,0.44848267022910915,0,0,0,0,0,0,0,0,0,0,0.6204368085838103,0,0,0,0,0,0,0.6138099476294531,0,0.9999999999999998
