,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.9857506439653725,0.7349396060864517,0.7586149000432885,0,0,0,0,0,0,0,0,0,0,0.26516448693968003,0,0,0,0,0,0,0.22323655649443888,0,0.14135778218196754
K2,0.7349396060864517,0.8153655992118328,0.6152940450374738,0,0,0,0,0,0,0,0,0,0,0.26250250444153655,0,0,0,0,0,0,0.2841354484867231,0,0.23304026137650033
K1,0.7586149000432885,0.6152940450374736,0.7441917444739534,0,0,0,0,0,0,0,0,0,0,0.32481281750895585,0,0,0,0,0,0,0.30827090814545743,0,0.2779962578186935
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.26516448693968,0.26250250444153655,0.3248128175089558,0,0,0,0,0,0,0,0,0,0,0.8288799195905462,0,0,0,0,0,0,0.5191483826178799,0,0.6329745088038652
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.22323655649443888,0.2841354484867231,0.30827090814545743,0,0,0,0,0,0,0,0,0,0,0.5191483826178799,0,0,0,0,0,0,1.0000000000000004,0,0.5664333215953217
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.14135778218196754,0.23304026137650033,0.2779962578186935,0,0,0,0,0,0,0,0,0,0,0.6329745088038652,0,0,0,0,0,0,0.5664333215953217,0,1.0000000000000002
