,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.965134159435924,0.7768978200821004,0.758053212574933,0,0,0,0,0,0,0,0,0,0,0.37547873916644925,0,0,0,0,0,0,0.3416943415692875,0,0.4126028930562455
K2,0.7768978200821004,0.9090025249444187,0.5489595081950294,0,0,0,0,0,0,0,0,0,0,0.32917565382185476,0,0,0,0,0,0,0.2628496840932119,0,0.4261305201583716
K1,0.7580532125749331,0.5489595081950294,0.8478105979219723,0,0,0,0,0,0,0,0,0,0,0.3802213145596621,0,0,0,0,0,0,0.3446013930721383,0,0.35183404649457306
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.37547873916644925,0.32917565382185476,0.3802213145596621,0,0,0,0,0,0,0,0,0,0,0.850134301534923,0,0,0,0,0,0,0.5793427723693985,0,0.5781364720404797
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.3416943415692875,0.2628496840932119,0.3446013930721383,0,0,0,0,0,0,0,0,0,0,0.5793427723693985,0,0,0,0,0,0,1.0000000000000002,0,0.5410555149686024
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.4126028930562455,0.4261305201583716,0.35183404649457306,0,0,0,0,0,0,0,0,0,0,0.5781364720404797,0,0,0,0,0,0,0.5410555149686024,0,0.9999999999999998
