,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.907781521185829,0.6441793261823537,0.6913946393143804,0,0,0,0,0,0,0,0,0,0,0.3425345167062355,0,0,0,0,0,0,0.3613465814452586,0,0.37713902326215404
K2,0.6441793261823537,0.89763757312916,0.5136577708331819,0,0,0,0,0,0,0,0,0,0,0.3024281706268996,0,0,0,0,0,0,0.29225337996148,0,0.3676309270442697
K1,0.6913946393143804,0.5136577708331819,0.8733937994546525,0,0,0,0,0,0,0,0,0,0,0.35907560414750755,0,0,0,0,0,0,0.3893844403628284,0,0.358601089820559
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.3425345167062355,0.3024281706268996,0.35907560414750755,0,0,0,0,0,0,0,0,0,0,0.8496983758657407,0,0,0,0,0,0,0.5254728932955962,0,0.6709265155767454
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.3613465814452586,0.29225337996148,0.3893844403628284,0,0,0,0,0,0,0,0,0,0,0.5254728932955962,0,0,0,0,0,0,1.0,0,0.512103919603692
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.37713902326215404,0.3676309270442697,0.358601089820559,0,0,0,0,0,0,0,0,0,0,0.6709265155767454,0,0,0,0,0,0,0.512103919603692,0,0.9999999999999997
