,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.9725633118117981,0.7100613598736037,0.7803732620442797,0,0,0,0,0,0,0,0,0,0,0.2931196593493686,0,0,0,0,0,0,0.29460284940069026,0,0.21376909217459775
K2,0.7100613598736037,0.768591834038697,0.5971559295291902,0,0,0,0,0,0,0,0,0,0,0.2588052805929258,0,0,0,0,0,0,0.29801297356188877,0,0.2285047707439307
K1,0.7803732620442796,0.59715592952919,0.8158829219180493,0,0,0,0,0,0,0,0,0,0,0.3596224370930346,0,0,0,0,0,0,0.36246004794805664,0,0.32878543101940655
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.29311965934936857,0.2588052805929258,0.3596224370930346,0,0,0,0,0,0,0,0,0,0,0.8451922915970714,0,0,0,0,0,0,0.5912716357899761,0,0.6962858847421249
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.29460284940069026,0.29801297356188877,0.36246004794805664,0,0,0,0,0,0,0,0,0,0,0.5912716357899761,0,0,0,0,0,0,1.0000000000000002,0,0.5932429878772343
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.21376909217459775,0.2285047707439307,0.32878543101940655,0,0,0,0,0,0,0,0,0,0,0.6962858847421249,0,0,0,0,0,0,0.5932429878772343,0,1.0000000000000002
