,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,11.670759741741577,8.520736318483245,9.364479144531357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5174359121924232,0.0,0.0,0.0,0.0,0.0,0.0,1.7676170964041416,0.0,1.2826145530475865
K2,8.520736318483245,9.223102008464364,7.165871154350282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1056633671151097,0.0,0.0,0.0,0.0,0.0,0.0,1.7880778413713325,0.0,1.371028624463584
K1,9.364479144531355,7.16587115435028,9.790595063016593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.315469245116415,0.0,0.0,0.0,0.0,0.0,0.0,2.17476028768834,0.0,1.9727125861164394
P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,3.517435912192423,3.1056633671151097,4.315469245116415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.142307499164858,0.0,0.0,0.0,0.0,0.0,0.0,3.5476298147398566,0.0,4.17771530845275
h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r,1.7676170964041416,1.7880778413713325,2.17476028768834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5476298147398566,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000000001,0.0,1.7797289636317029
u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,1.2826145530475865,1.371028624463584,1.9727125861164394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17771530845275,0.0,0.0,0.0,0.0,0.0,0.0,1.7797289636317029,0.0,3.000000000000001
