,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.9189346720519078,0.6446421855240932,0.7293266502103537,0,0,0,0,0,0,0,0,0,0,0.38064485183165037,0,0,0,0,0,0,0.42251750941248295,0,0.37555244301995105
K2,0.6446421855240932,0.8900113523287487,0.538877135333044,0,0,0,0,0,0,0,0,0,0,0.32193216194911967,0,0,0,0,0,0,0.3395684914847981,0,0.35940555729624996
K1,0.7293266502103537,0.538877135333044,0.8674115507894908,0,0,0,0,0,0,0,0,0,0,0.395106188521859,0,0,0,0,0,0,0.4564933038510195,0,0.36292873249022783
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.38064485183165037,0.32193216194911967,0.395106188521859,0,0,0,0,0,0,0,0,0,0,0.8472704049692084,0,0,0,0,0,0,0.5215898470303526,0,0.6323439104413787
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.42251750941248295,0.3395684914847981,0.4564933038510195,0,0,0,0,0,0,0,0,0,0,0.5215898470303526,0,0,0,0,0,0,0.9999999999999999,0,0.5398064220286595
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.37555244301995105,0.35940555729624996,0.36292873249022783,0,0,0,0,0,0,0,0,0,0,0.6323439104413787,0,0,0,0,0,0,0.5398064220286595,0,0.9999999999999999
