,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.9281672768379154,0.698583652687037,0.7672401871926726,0,0,0,0,0,0,0,0,0,0,0.29917272478045787,0,0,0,0,0,0,0.3499585994236074,0,0.24624921727250695
K2,0.698583652687037,0.8017650175440995,0.572370700342811,0,0,0,0,0,0,0,0,0,0,0.27422785880994527,0,0,0,0,0,0,0.3084717636728803,0,0.2477476607672473
K1,0.7672401871926725,0.5723707003428109,0.8217224268524104,0,0,0,0,0,0,0,0,0,0,0.3521143738643394,0,0,0,0,0,0,0.4421113261208169,0,0.33678686482177905
P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0.29917272478045787,0.2742278588099452,0.3521143738643394,0,0,0,0,0,0,0,0,0,0,0.8605715297820127,0,0,0,0,0,0,0.5339183816527767,0,0.6616771477944481
h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.3499585994236074,0.3084717636728803,0.4421113261208169,0,0,0,0,0,0,0,0,0,0,0.5339183816527767,0,0,0,0,0,0,1.0000000000000002,0,0.5664404918980344
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.24624921727250695,0.2477476607672473,0.33678686482177905,0,0,0,0,0,0,0,0,0,0,0.6616771477944481,0,0,0,0,0,0,0.5664404918980344,0,1.0000000000000004
